ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,CITY,STATE,COUNTRY,TERRITORY,LATITUDE,LONGITUDE,DISCOUNT_PERCENTAGE
10107,30,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,12125557818.0,NYC,NY,USA,,40.7127281,-74.0060152,-0.74
10121,34,81.35,5,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,33326471555.0,Reims,,France,,49.2577886,4.031926,14.37
10134,41,94.74,2,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,33146627555.0,Paris,,France,,48.8534951,2.3483915,0.27
10145,45,83.26,6,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,16265557265.0,Pasadena,CA,USA,,34.1476507,-118.144155,12.36
10159,49,100.0,14,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,16505551386.0,San Francisco,CA,USA,,37.7879363,-122.4075201,-5.26
10168,36,96.66,1,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,16505556809.0,Burlingame,CA,USA,,37.5780965,-122.3473099,-1.75
10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,33320161555.0,Lille,,France,,50.6365654,3.0635282,9.34
10188,48,100.0,1,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,4722673215.0,Bergen,,Norway,,60.3943055,5.3259192,-5.26
10201,22,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,16505555787.0,San Francisco,CA,USA,,37.7879363,-122.4075201,-3.76
10211,41,100.0,14,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,33147556555.0,Paris,,France,,48.8534951,2.3483915,-5.26
10223,37,100.0,1,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",61395204555.0,Melbourne,Victoria,Australia,,-37.8142454,144.9631732,-5.26
10237,23,100.0,7,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,12125551500.0,NYC,NY,USA,,40.7127281,-74.0060152,-5.26
10251,28,100.0,2,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,12015559350.0,Newark,NJ,USA,,40.735657,-74.1723667,-5.26
10263,34,100.0,2,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,12035552570.0,Bridgewater,CT,USA,,41.5350949,-73.3662305,-5.26
10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,33240678555.0,Nantes,,France,,47.2186371,-1.5541362,2.28
10285,36,100.0,6,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,16175558555.0,Cambridge,MA,USA,,42.3656347,-71.1040018,-5.26
10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",358902248555.0,Helsinki,,Finland,,60.1666204,24.9435408,-5.26
10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,473307989555.0,Stavern,,Norway,,58.9983397,10.0360061,-5.26
10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,12155551555.0,Allentown,PA,USA,,40.6022552,-75.4716115,0.27
10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,12125557818.0,NYC,NY,USA,,40.7127281,-74.0060152,-5.26
10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,4366265629555.0,Salzburg,,Austria,,47.7981346,13.0464806,-5.26
10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,61294958555.0,Chatswood,NSW,Australia,,-33.7967377,151.1814306,23.63
10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,33240678555.0,Nantes,,France,,47.2186371,-1.5541362,63.25
10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,15085552555.0,New Bedford,MA,USA,,41.6362152,-70.934205,19.62
10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",441715552282.0,Liverpool,,UK,,53.4071991,-2.99168,-5.26
10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,34915559444.0,Madrid,,Spain,,40.416782,-3.703507,-5.26
10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,473307989555.0,Stavern,,Norway,,58.9983397,10.0360061,53.27
10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",46921123555.0,Lule,,Sweden,,65.7395767,21.2283733,53.27
10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",34915552282.0,Madrid,,Spain,,40.416782,-3.703507,53.27
10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,16505556809.0,Burlingame,CA,USA,,37.5780965,-122.3473099,53.27
10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",,Singapore,,Singapore,,1.357107,103.8194992,53.27
10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,12125558493.0,NYC,NY,USA,,40.7127281,-74.0060152,53.27
10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",6161738446555.0,South Brisbane,Queensland,Australia,,-27.479264,153.0200774,53.27
10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",12155554695.0,Philadelphia,PA,USA,,39.9527237,-75.1635262,53.27
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",33478325555.0,Lyon,,France,,45.7578137,4.8320114,53.27
10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,16045553392.0,Vancouver,BC,Canada,,49.2608724,-123.113952,53.27
10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,13105553722.0,Burbank,CA,USA,,34.1812089,-118.307201,53.27
10228,29,100.0,2,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,16175555555.0,Cambridge,MA,USA,,42.3656347,-71.1040018,53.27
10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,12035559545.0,New Haven,CT,USA,,41.3082138,-72.9250518,53.27
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",81335840555.0,Minato-ku,Tokyo,Japan,,35.6580089,139.7515137,53.27
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,61294958555.0,Chatswood,NSW,Australia,,-33.7967377,151.1814306,53.27
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,39114988555.0,Torino,,Italy,,45.0677551,7.6824892,53.27
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,46695346555.0,Boras,,Sweden,,57.7210839,12.9407407,53.27
10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,33130598555.0,Versailles,,France,,48.8035403,2.1266886,53.27
10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,14155551450.0,San Rafael,CA,USA,,37.9747795,-122.5316686,53.27
10322,40,100.0,1,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,16035558647.0,Nashua,NH,USA,,42.7656251,-71.4677032,53.27
10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,16505555787.0,San Francisco,CA,USA,,37.7879363,-122.4075201,53.27
10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",61395204555.0,Melbourne,Victoria,Australia,,-37.8142454,144.9631732,53.27
10357,32,100.0,10,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,14155551450.0,San Rafael,CA,USA,,37.9747795,-122.5316686,53.27
10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,16175558555.0,Brickhaven,MA,USA,,36.8329806,-76.1620209,53.27
10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,16505551386.0,San Francisco,CA,USA,,37.7879363,-122.4075201,53.27
10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",61299368555.0,North Sydney,NSW,Australia,,-33.8343158,151.2091974,53.27
10411,23,100.0,9,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,15145558054.0,Montreal,Quebec,Canada,,45.5031824,-73.5698065,53.27
10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,34915559444.0,Madrid,,Spain,,40.416782,-3.703507,53.27
10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,12125557818.0,NYC,NY,USA,,40.7127281,-74.0060152,15.33
10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",61395204555.0,Melbourne,Victoria,Australia,,-37.8142454,144.9631732,18.36
10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,33146627555.0,Paris,,France,,48.8534951,2.3483915,15.25
10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,16265557265.0,Pasadena,CA,USA,,34.1476507,-118.144155,15.25
10159,37,100.0,17,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,16505551386.0,San Francisco,CA,USA,,37.7879363,-122.4075201,15.25
10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,16505556809.0,Burlingame,CA,USA,,37.5780965,-122.3473099,15.25
10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,33320161555.0,Lille,,France,,50.6365654,3.0635282,15.25
10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,4722673215.0,Bergen,,Norway,,60.3943055,5.3259192,18.36
10201,24,100.0,5,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,16505555787.0,San Francisco,CA,USA,,37.7879363,-122.4075201,15.25
10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,810663425555.0,Osaka,Osaka,Japan,,34.6937569,135.5014539,15.25
10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",61395204555.0,Melbourne,Victoria,Australia,,-37.8142454,144.9631732,15.25
10236,22,100.0,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,12155559857.0,Philadelphia,PA,USA,,39.9527237,-75.1635262,15.25
10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,12015559350.0,Newark,NJ,USA,,40.735657,-74.1723667,15.25
10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,12035552570.0,Bridgewater,CT,USA,,41.5350949,-73.3662305,15.25
10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,33240678555.0,Nantes,,France,,47.2186371,-1.5541362,15.25
10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,16175558555.0,Cambridge,MA,USA,,42.3656347,-71.1040018,15.25
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,33240322555.0,Nantes,,France,,47.2186371,-1.5541362,18.36
10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,19145554562.0,White Plains,NY,USA,,41.0339862,-73.7629097,15.25
