ORDERDATE,YEAR_ID,MONTH_ID,QTR_ID,PRODUCTLINE,QUANTITYORDERED,MSRP,PRICEEACH,DISCOUNT_PERCENTAGE,DISCOUNT_PCT_CLIPPED,DISCOUNT_OUTLIER_FLAG,STATUS,IS_CLOSED,DEAL_SIZE,LOG_DEAL_SIZE,PRICE_TO_MSRP_RATIO,IS_Q4,IS_YEAR_END,DEAL_SIZE_BUCKETS,STATUS_CLASS
2003-02-24,2003,2,1,Motorcycles,30,95,95.7,-0.736842105263161,-0.736842105263161,0,Shipped,1,2871.0,7.962763930168115,1.0073684210526317,0,0,Medium,2.0
2003-05-07,2003,5,2,Motorcycles,34,95,81.35,14.368421052631586,14.368421052631586,0,Shipped,1,2765.8999999999996,7.925482838909783,0.8563157894736841,0,0,Medium,2.0
2003-07-01,2003,7,3,Motorcycles,41,95,94.74,0.2736842105263212,0.2736842105263212,0,Shipped,1,3884.3399999999997,8.264965775059954,0.9972631578947367,0,0,Large,2.0
2003-08-25,2003,8,3,Motorcycles,45,95,83.26,12.3578947368421,12.3578947368421,0,Shipped,1,3746.7000000000003,8.228897597465291,0.876421052631579,0,0,Large,2.0
2003-10-10,2003,10,4,Motorcycles,49,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4900.0,8.497194544909547,1.0526315789473684,1,0,Large,2.0
2003-10-28,2003,10,4,Motorcycles,36,95,96.66,-1.7473684210526281,-1.7473684210526281,0,Shipped,1,3479.7599999999998,8.155005939729318,1.0174736842105263,1,0,Large,2.0
2003-11-11,2003,11,4,Motorcycles,29,95,86.13,9.336842105263162,9.336842105263162,0,Shipped,1,2497.77,7.823553889784579,0.9066315789473683,1,0,Medium,2.0
2003-11-18,2003,11,4,Motorcycles,48,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4800.0,8.476579508530941,1.0526315789473684,1,0,Large,2.0
2003-12-01,2003,12,4,Motorcycles,22,95,98.57,-3.7578947368420983,-3.7578947368420983,0,Shipped,1,2168.54,7.682270442496417,1.037578947368421,1,1,Small,2.0
2004-01-15,2004,1,1,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,8.31898612539206,1.0526315789473684,0,0,Large,2.0
2004-02-20,2004,2,1,Motorcycles,37,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3700.0,8.216358332386156,1.0526315789473684,0,0,Large,2.0
2004-04-05,2004,4,2,Motorcycles,23,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2300.0,7.741099090035366,1.0526315789473684,0,0,Small,2.0
2004-05-18,2004,5,2,Motorcycles,28,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2800.0,7.937731775260109,1.0526315789473684,0,0,Medium,2.0
2004-06-28,2004,6,2,Motorcycles,34,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3400.0,8.131824785007195,1.0526315789473684,0,0,Large,2.0
2004-07-23,2004,7,3,Motorcycles,45,95,92.83,2.2842105263157912,2.2842105263157912,0,Shipped,1,4177.35,8.337671710747601,0.9771578947368421,0,0,Large,2.0
2004-08-27,2004,8,3,Motorcycles,36,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3600.0,8.188966863648876,1.0526315789473684,0,0,Large,2.0
2004-09-30,2004,9,3,Motorcycles,23,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2300.0,7.741099090035366,1.0526315789473684,0,0,Small,2.0
2004-10-15,2004,10,4,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,8.31898612539206,1.0526315789473684,1,0,Large,2.0
2004-11-02,2004,11,4,Motorcycles,46,95,94.74,0.2736842105263212,0.2736842105263212,0,Shipped,1,4358.04,8.380007128612899,0.9972631578947367,1,0,Large,2.0
2004-11-15,2004,11,4,Motorcycles,42,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4200.0,8.343077871169383,1.0526315789473684,1,0,Large,2.0
2004-11-24,2004,11,4,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,8.31898612539206,1.0526315789473684,1,0,Large,2.0
2004-12-17,2004,12,4,Motorcycles,20,95,72.55,23.63157894736842,23.63157894736842,0,Shipped,1,1451.0,7.280697195384741,0.7636842105263157,1,1,Small,2.0
2005-02-03,2005,2,1,Motorcycles,21,95,34.91,63.25263157894737,50.0,1,Shipped,1,733.1099999999999,6.598658881146282,0.3674736842105263,0,0,Small,2.0
2005-03-03,2005,3,1,Motorcycles,42,95,76.36,19.621052631578948,19.621052631578948,0,Shipped,1,3207.12,8.073440374770591,0.8037894736842105,0,0,Medium,2.0
2005-04-08,2005,4,2,Motorcycles,24,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2400.0,7.783640596221253,1.0526315789473684,0,0,Medium,2.0
2005-05-13,2005,5,2,Motorcycles,66,95,100.0,-5.263157894736842,-5.263157894736842,0,Disputed,0,6600.0,8.79497643168877,1.0526315789473684,0,0,Large,0.0
2003-01-29,2003,1,1,Classic Cars,26,214,100.0,53.271028037383175,50.0,1,Shipped,1,2600.0,7.8636512654486515,0.4672897196261682,0,0,Medium,2.0
